arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
gemini_2_5_flash__production,A01-original,minor bearing wobble on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, suggesting an early warning of imbalance.",False,1,7452.515125274658,1524,510
gemini_2_5_flash__production,A01-original,minor bearing wobble on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning of mechanical instability.",False,1,5652.47106552124,1524,940
gemini_2_5_flash__production,A01-original,minor bearing wobble on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, suggesting an early warning of imbalance.",False,1,5232.202053070068,1524,510
gemini_2_5_flash__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a minor anomaly, indicating a small amount of play in the bearing.",False,1,3286.3664627075195,1534,432
gemini_2_5_flash__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",1,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a minor anomaly, indicating a small amount of play in the bearing.",False,1,3214.810848236084,1534,432
gemini_2_5_flash__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",2,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a minor anomaly, indicating a small amount of play in the bearing.",False,1,4244.470596313477,1534,432
gemini_2_5_flash__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",0,Xs0,LOW,0.55,[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor oscillation at the bearing housing.,False,1,3796.0193157196045,1537,365
gemini_2_5_flash__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a faint shake at the bearing housing, indicating an early warning.",False,1,4028.9244651794434,1537,569
gemini_2_5_flash__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a faint shake at the bearing housing, indicating an early warning.",False,1,3899.5401859283447,1537,569
gemini_2_5_flash__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",0,Xs2,LOW,0.55,[gemini-2.5-flash] Bearing temperature sensor Xs2 showing a minor anomaly due to slight play in the bearing.,False,1,5892.55428314209,1534,975
