strategy,repeat,prompt_idx,prompt,true_mode,predicted_mode,p_true,brier,nll,top1_correct,update_mode,update_delta,update_conf,latency_ms,error
uniform,0,0,the bearing is making a weird grinding noise,bearing,bearing,0.6300376209004026,0.1740767617174337,0.46197574566454624,1,bearing,0.0,0.0,0.1259999698959291,
uniform,0,1,"low rumble from spindle housing, sounds like a worn bearing",bearing,motor,0.18615888818563175,0.8538431125809118,1.6811547323650256,0,bearing,0.0,0.0,0.03789999755099416,
uniform,0,2,Machine 2 has a wobble I can feel through the panel,bearing,electrical,0.09925335902505932,1.1499590041433125,2.310079515906333,0,bearing,0.0,0.0,0.03739999374374747,
uniform,0,3,"intermittent grinding when the press cycles, otherwise quiet",bearing,bearing,0.6221783249731259,0.19010187757163038,0.4745285312341576,1,bearing,0.0,0.0,0.03470003139227629,
uniform,0,4,motor is drawing way more current than usual,motor,coolant,0.26437526789974336,0.7201156380244133,1.3303857158497454,0,bearing,0.0,0.0,0.034299970138818026,
uniform,0,5,"Machine 1 stalls under load, torque feels off",motor,coolant,0.1943755599890651,0.8744019194940107,1.6379631150801062,0,bearing,0.0,0.0,0.035699980799108744,
uniform,0,6,RPM is dropping intermittently on the conveyor motor,motor,electrical,0.3782809761679913,0.7272007986162915,0.9721180362946655,0,bearing,0.0,0.0,0.028799986466765404,
uniform,0,7,"noticeable hum from the winding, motor running hot",motor,bearing,0.27809005714682933,0.6784578643918308,1.279810271179533,0,bearing,0.0,0.0,0.026300025638192892,
uniform,0,8,oil pressure gauge keeps dipping during the cycle,oil_seal,coolant,0.20114245305567366,0.8850926392035622,1.6037419002776485,0,bearing,0.0,0.0,0.025999965146183968,
uniform,0,9,there's a small oil leak under the gearbox seal,oil_seal,motor,0.13518911479955084,0.9775639489390787,2.001080630452167,0,bearing,0.0,0.0,0.03350002225488424,
uniform,0,10,"lubrication line pressure is unstable, pressure drop alarms",oil_seal,coolant,0.26659735627256465,0.714416316015066,1.322015787743694,0,bearing,0.0,0.0,0.02659996971487999,
uniform,0,11,"seal looks weeping, oil pooling under the housing",oil_seal,oil_seal,0.45134057428060054,0.4074578544491499,0.7955330708489653,1,bearing,0.0,0.0,0.024900014977902174,
uniform,0,12,"the chiller is barely keeping up, coolant flow looks low",coolant,coolant,0.4634935193212939,0.3757592860890107,0.7689628761208078,1,bearing,0.0,0.0,0.03509997623041272,
uniform,0,13,"Machine 4 is running hot, cooling loop temp is climbing",coolant,bearing,0.20481298954883212,0.8686426049451028,1.5856579622966915,0,bearing,0.0,0.0,0.028500042390078306,
uniform,0,14,"noticeable overheating on the spindle, coolant flow drop suspected",coolant,electrical,0.07349834920472553,1.1128611356120754,2.6104923328152236,0,bearing,0.0,0.0,0.03090000245720148,
uniform,0,15,coolant pump output is half what it normally is,coolant,coolant,0.4430841579585503,0.4049381663813636,0.8139955541611543,1,bearing,0.0,0.0,0.03659998765215278,
