arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
llama3_2_3b__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,0,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature Xs2 showing elevated reading — possible bearing degradation,False,1,12275.485277175903,1629,79,False
llama3_2_3b__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,1,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature Xs2 showing elevated reading — possible bearing degradation,False,1,12275.485277175903,1629,79,True
llama3_2_3b__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,2,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature Xs2 showing elevated reading — possible bearing degradation,False,1,12275.485277175903,1629,79,True
llama3_2_3b__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",0,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight elevation — possible minor overheating,False,1,10916.55707359314,1627,68,False
llama3_2_3b__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",1,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight elevation — possible minor overheating,False,1,10916.55707359314,1627,68,True
llama3_2_3b__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",2,Xs3,MEDIUM,0.73,[llama3.2:3b] Motor temperature sensor Xs3 showing slight elevation — possible minor overheating,False,1,10916.55707359314,1627,68,True
llama3_2_3b__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,0,Xs4,LOW,0.58,[llama3.2:3b] Oil pressure gauge Xs4 showing slight drop — possible minor lube issue,False,1,12070.008754730225,1627,78,False
llama3_2_3b__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,1,Xs4,LOW,0.58,[llama3.2:3b] Oil pressure gauge Xs4 showing slight drop — possible minor lube issue,False,1,12070.008754730225,1627,78,True
llama3_2_3b__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,2,Xs4,LOW,0.58,[llama3.2:3b] Oil pressure gauge Xs4 showing slight drop — possible minor lube issue,False,1,12070.008754730225,1627,78,True
llama3_2_3b__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",0,Xs12,MEDIUM,0.73,[llama3.2:3b] Acoustic sensor Xs12 showing slight increase — possible minor vibration anomaly.,False,1,10754.497766494751,1633,68,False
llama3_2_3b__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",1,Xs12,MEDIUM,0.73,[llama3.2:3b] Acoustic sensor Xs12 showing slight increase — possible minor vibration anomaly.,False,1,10754.497766494751,1633,68,True
llama3_2_3b__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",2,Xs12,MEDIUM,0.73,[llama3.2:3b] Acoustic sensor Xs12 showing slight increase — possible minor vibration anomaly.,False,1,10754.497766494751,1633,68,True
llama3_2_3b__production,L05,coolant flow on Machine 5 is down about 3 percent from baseline,0,W3,LOW,0.57,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11729.063272476196,1627,77,False
llama3_2_3b__production,L05,coolant flow on Machine 5 is down about 3 percent from baseline,1,W3,LOW,0.57,[llama3.2:3b] Coolant flow sensor W3 showing slight drop — possible minor issue,False,1,11729.063272476196,1627,77,True
