arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
gemini_2_5_flash_nothink__production,A01-original,minor bearing wobble on Machine 1,0,Xs0,LOW,0.55,[gemini-2.5-flash] Vibration X sensor Xs0 indicating minor bearing wobble.,False,1,3760.0975036621094,1524,95
gemini_2_5_flash_nothink__production,A01-original,minor bearing wobble on Machine 1,1,Xs0,LOW,0.55,[gemini-2.5-flash] Vibration X sensor Xs0 indicating minor bearing wobble.,False,1,1762.1428966522217,1524,95
gemini_2_5_flash_nothink__production,A01-original,minor bearing wobble on Machine 1,2,Xs0,LOW,0.55,[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor bearing wobble.,False,1,1664.4296646118164,1524,86
gemini_2_5_flash_nothink__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",0,Xs2,LOW,0.55,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a minor play in the bearing.,False,1,1948.887586593628,1534,97
gemini_2_5_flash_nothink__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",1,Xs2,LOW,0.58,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a minor early warning of play in the bearing.,False,1,1909.8544120788574,1534,100
gemini_2_5_flash_nothink__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",2,Xs2,LOW,0.58,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a minor early warning of play in the bearing.,False,1,1760.756015777588,1534,100
gemini_2_5_flash_nothink__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a faint shake at the bearing housing, an early warning sign.",False,1,2296.156167984009,1537,104
gemini_2_5_flash_nothink__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a faint shake, indicating an early warning of imbalance.",False,1,1784.492015838623,1537,102
gemini_2_5_flash_nothink__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a faint shake at the bearing housing, an early warning sign.",False,1,1959.852695465088,1537,104
gemini_2_5_flash_nothink__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight play, suggesting an early warning of wear.",False,1,1688.6944770812988,1534,101
gemini_2_5_flash_nothink__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",1,Xs2,LOW,0.61,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight play, suggesting an early warning of wear.",False,1,1751.1558532714844,1534,101
gemini_2_5_flash_nothink__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",2,Xs2,LOW,0.61,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight play, suggesting an early warning of wear.",False,1,1675.6436824798584,1534,101
