arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
gemini_2_5_flash__production,UAF07-0014117,SB: RM 219B: HIGH TEMP,0,Xs2,MEDIUM,0.78,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates an elevated thermal condition.,False,1,7406.775712966919,1528,974,False
gemini_2_5_flash__production,98281,Call out from heating plant to respond to a low pressure alarm.,0,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a medium severity low pressure condition, triggering an alarm.",False,1,8794.991493225098,1530,1577,False
gemini_2_5_flash__production,FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",0,Xs9,MEDIUM,0.78,[gemini-2.5-flash] Coolant Temp sensor Xs9 indicates elevated temperatures due to a faulty compressor.,False,1,3615.119457244873,1546,481,False
gemini_2_5_flash__production,UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,0,Xs2,HIGH,0.92,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a critical failure, suggesting a complete system shutdown.",False,1,4238.099575042725,1529,534,False
gemini_2_5_flash__production,104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,0,W3,MEDIUM,0.75,"[gemini-2.5-flash] Coolant flow sensor W3 detected an abnormal fluid leak, indicating water intrusion into the kitchen area.",False,1,4186.537981033325,1534,612,False
gemini_2_5_flash__production,FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),0,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is elevated, indicating an overheating condition in the heat pump.",False,1,8992.258548736572,1540,1600,False
gemini_2_5_flash__production,UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,0,Xs2,MEDIUM,0.75,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates an out-of-range preheat temperature condition.,False,1,6551.705360412598,1525,1135,False
gemini_2_5_flash__production,83184,Unit tripped on flame failure,0,Xs2,HIGH,0.92,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a critical spike, indicating severe thermal stress after the unit tripped due to flame failure.",False,1,8707.196474075317,1522,1522,False
gemini_2_5_flash__production,FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),0,Xs10,MEDIUM,0.75,"[gemini-2.5-flash] Ambient temperature sensor Xs10 shows an abnormal reading, indicating an environmental heating issue.",False,1,11060.937881469727,1534,2073,False
gemini_2_5_flash__production,UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,0,Xs2,MEDIUM,0.78,[gemini-2.5-flash] Bearing temperature sensor Xs2 shows an abnormal reading due to a Q-COM failure.,False,1,5574.851751327515,1527,997,False
gemini_2_5_flash__production,122261,In mens 330.1 Second stall toilet seat is broke right off,0,Xs2,HIGH,0.91,[gemini-2.5-flash] Bearing temperature sensor Xs2 critical — thermal threshold exceeded.,False,1,5972.505331039429,1533,985,False
gemini_2_5_flash__production,FM-592595,"After hours - AVH: UNL PD paged, flow alarm on the fire panel. Was called in a second time at 12:30 a.m. (General Comments)",0,W3,MEDIUM,0.75,"[gemini-2.5-flash] Coolant flow sensor W3 detected an abnormal flow alarm, indicating a potential issue with the fire panel system.",False,1,4087.7654552459717,1557,406,False
gemini_2_5_flash__production,UAF07-0019611,SB: WR CAFE: COOLER HIGH TEMP ALARM,0,Xs9,MEDIUM,0.78,[gemini-2.5-flash] Coolant temperature sensor Xs9 is reporting an alarmingly high temperature.,False,1,3397.3710536956787,1529,393,False
