arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
llama3_2_3b__production,A01-original,minor bearing wobble on Machine 1,0,Xs2,LOW,0.53,[llama3.2:3b] Bearing wobble detected on Machine 1 — minor vibration anomaly,False,1,9678.24411392212,1621,72
llama3_2_3b__production,A01-original,minor bearing wobble on Machine 1,1,Xs2,LOW,0.53,[llama3.2:3b] Bearing wobble detected on Machine 1 — minor vibration anomaly,False,1,10239.805698394775,1621,72
llama3_2_3b__production,A01-original,minor bearing wobble on Machine 1,2,Xs2,LOW,0.53,[llama3.2:3b] Bearing wobble detected on Machine 1 — minor vibration anomaly,False,1,9894.611835479736,1621,72
llama3_2_3b__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",0,Xs2,MEDIUM,0.63,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight elevation — possible bearing play detected,False,1,9079.898834228516,1630,69
llama3_2_3b__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",1,Xs2,MEDIUM,0.63,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight elevation — possible bearing play detected,False,1,9502.30073928833,1630,69
llama3_2_3b__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",2,Xs2,MEDIUM,0.63,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight elevation — possible bearing play detected,False,1,9343.571901321411,1630,69
llama3_2_3b__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",0,Xs2,MEDIUM,0.63,[llama3.2:3b] Machine 1 bearing housing shows slight vibration anomaly — possible minor bearing issue,False,1,9253.230571746826,1633,68
llama3_2_3b__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",1,Xs2,MEDIUM,0.63,[llama3.2:3b] Machine 1 bearing housing shows slight vibration anomaly,False,1,8632.78341293335,1633,63
llama3_2_3b__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",2,Xs2,MEDIUM,0.63,[llama3.2:3b] Machine 1 bearing housing shows slight vibration anomaly,False,1,8563.441038131714,1633,63
llama3_2_3b__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",0,Xs2,MEDIUM,0.73,[llama3.2:3b] Bearing temperature sensor Xs2 showing slight elevation — possible bearing wear,False,1,8298.828601837158,1632,66
