bank_id,text,design_severity,style,anchor,university,WOPriority,SystemDescription,ComponentDescription
UAF07-0014117,SB: RM 219B: HIGH TEMP,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Thermostat
98281,Call out from heating plant to respond to a low pressure alarm.,HIGH,workorder,7,7,P1 - Emergency (1 day),Fire Protection,Fire Sprinkler System
FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",HIGH,workorder,9,9,1-EMERGENCY,Equipment,"Freezer/Cooler, Commercial/Reach-In"
UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Boiler, Electric/Gas/Oil"
104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Sink
FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Thermostat
83184,Unit tripped on flame failure,HIGH,workorder,7,7,P1 - Emergency (1 day),HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Unplanned Maintenance
122261,In mens 330.1 Second stall toilet seat is broke right off,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Toilet & Wash Basin
FM-592595,"After hours - AVH: UNL PD paged, flow alarm on the fire panel. Was called in a second time at 12:30 a.m. (General Comments)",HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF07-0019611,SB: WR CAFE: COOLER HIGH TEMP ALARM,HIGH,workorder,3,3,1-EMERGENCY,Equipment,"Freezer/Cooler, Commercial/Reach-In"
113097,ceiling leak looks like tile is ready to break out,HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Finishes,Vinyl Tile Dropped Ceiling
FM-644350,"Sensor troubles at Selleck 7,8 and 9000 buildings. (General comments)",HIGH,workorder,9,9,1-EMERGENCY,Electrical,Security Control Panel
UAF09-0013481,SB: KITCHEN: LEAK UNDER DISH SINK,HIGH,workorder,3,3,1-EMERGENCY,Plumbing,Sink
126604,CB 232 is sitting at 23. They have tried to lower the temperature about an hour ago and the instructor has advised the room is still very warm.,HIGH,workorder,7,7,P1 - Emergency (1 day),HVAC,Thermostat
FM-511636,After hours -- could not see Family Resource Center on jEMS - believed the steam heat to be off. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF07-0025244,SB: BSMT MECH RM: LOUD BANGING NOISE,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Unplanned Maintenance
77260,Roof leak - bladder is not catching all of the water R/C Darcy,HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Finishes,Plaster Ceiling
FM-525186,There is a major water leak in ANSC room D165. (General comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Pipe & Fittings
UAF09-0009619,SB: ZONE #4 TEMP OUT OF RANGE,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Thermostat
104292,assuming ceiling leak - water coming into kitchen area,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Sink
FM-634099,After Hours - LLS Leak in Room 3A stacks area. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Interior Finishes,Unplanned Maintenance
UAF08-0017618,SB: WATER SOFTENER SMALL LEAK FROM AREA,HIGH,workorder,3,3,1-EMERGENCY,Plumbing,Water Softener
120400,Leak from ceiling SW corner of work control,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Pipe & Fittings
FM-611139,After hours - Glycol leak in RM015. Single ceiling pad damaged and small amount leaked on floor. (General comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,Pipe & Fittings
UAF08-0015197,SB: 726B: HEATING PUMP GOING DRY,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Circulation Pump, Hot Water"
116962,Water from toilet leak in WA 224 (See FAMIS request 116961) leaked through ceiling into the bathroom light fixture.,HIGH,workorder,7,7,P1 - Emergency (1 day),Electrical,Fluorescent Lighting Fixture
FM-574137,After Hours - Control Air Compressor running continuously. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Air Compressor
UAF08-0016260,SB: RM 301: CEILING LEAK,HIGH,workorder,3,3,1-EMERGENCY,Interior Finishes,Plaster Ceiling
101579,Water running down elevator shaft Kone called Monday Aug 20/18 @ 5:30pm Ref #13010804,HIGH,workorder,7,7,P1 - Emergency (1 day),Conveying,Elevator Geared
FM-670199,After Hours - HEWP Trouble Alarm on Fire Panel Fire Pump Rm 15 (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF07-0013841,SB: BRISTOL BAY: SF2 TEMP IN ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Supply Fan
93820,ceiling leak - pretty decent - tiles fallen down ELECTRICIANS added - ceiling tile with sensor in it,HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Finishes,Vinyl Tile Dropped Ceiling
