arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
llama3_2_3b__production,UAF07-0014117,SB: RM 219B: HIGH TEMP,0,Xs3,HIGH,0.93,[llama3.2:3b] Motor temperature sensor Xs3 showing severe spike — possible motor overheating,False,1,12868.328094482422,1622,77,False
llama3_2_3b__production,98281,Call out from heating plant to respond to a low pressure alarm.,0,Xs8,MEDIUM,0.73,[llama3.2:3b] Hydraulic PSI sensor Xs8 showing elevated reading — possible pressure drop in system,False,1,13082.279443740845,1626,80,False
llama3_2_3b__production,FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",0,Xs9,HIGH,0.83,[llama3.2:3b] Coolant temp Xs9 showing high spike — possible compressor failure,False,1,11779.355525970459,1640,64,False
llama3_2_3b__production,UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,0,Xs2,HIGH,0.97,[llama3.2:3b] Bearing temperature sensor Xs2 showing severe spike — possible boiler failure,False,1,12864.558458328247,1625,71,False
llama3_2_3b__production,104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,0,W3,HIGH,0.93,[llama3.2:3b] Coolant flow sensor W3 showing severe drop — possible water ingress,False,1,10959.411144256592,1630,75,False
llama3_2_3b__production,FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),0,Xs2,MEDIUM,0.83,[llama3.2:3b] Bearing temperature Xs2 showing elevated reading — possible heat pump malfunction,False,1,12063.02523612976,1634,78,False
llama3_2_3b__production,UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,0,Xs2,MEDIUM,0.83,[llama3.2:3b] Bearing temperature sensor Xs2 showing elevated reading — possible preheat issue,False,1,12408.95676612854,1622,79,False
llama3_2_3b__production,83184,Unit tripped on flame failure,0,W0,HIGH,0.97,[llama3.2:3b] Motor RPM sensor W0 showing severe spike — possible flame failure,False,1,7832.258939743042,1619,62,False
llama3_2_3b__production,FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),0,Xs10,LOW,0.65,[llama3.2:3b] Ambient temperature sensor Xs10 showing slight drop — possible heating system failure,False,1,13213.864088058472,1630,78,False
llama3_2_3b__production,UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,0,W0,HIGH,0.97,[llama3.2:3b] Motor RPM sensor W0 showing severe spike — possible Q-com failure,False,1,10943.377494812012,1623,69,False
