strategy,prompt,machine_id,rejected,rejection_reason,sensor_id,severity,spike_value,rul,status,capacity_pct,machine_req,dispatch,rubric_aggregate,rubric_machine_name,rubric_rul,rubric_action,rubric_capacity,rubric_no_hallucination,rubric_notes,latency_ms,repeat,spike_summary,severity_multiplier
keyword_only,minor bearing wobble on Machine 1,1,False,,Xs2,HIGH,0.93,7.874071598052978,OFFLINE,80.0,18.594,"[Floor Manager] Metal Press OFFLINE at RUL 7.9 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 80.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 18.59.",5.0,5.0,5.0,5.0,5.0,5.0,,15.05732536315918,0,,
keyword_only,slight motor temp drift on Machine 2,2,False,,Xs2,HIGH,0.93,8.061820983886719,OFFLINE,60.0,24.792,"[Floor Manager] Paint & Coat OFFLINE at RUL 8.1 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Paint & Coat workload to remaining online machines. Factory at 60.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 24.79.",5.0,5.0,5.0,5.0,5.0,5.0,,7.635354995727539,0,,
keyword_only,subtle pressure creep on Machine 3,3,False,,Xs4,HIGH,0.92,12.35422420501709,OFFLINE,40.0,37.188,"[Floor Manager] PCB Line OFFLINE at RUL 12.4 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute PCB Line workload to remaining online machines. Factory at 40.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 37.19.",5.0,5.0,5.0,5.0,5.0,5.0,,8.059263229370117,0,,
keyword_only,intermittent vibration on Machine 4,4,False,,Xs0,MEDIUM,0.88,29.89484405517578,DEGRADED,30.0,49.583,[Floor Manager] Final Assembly entering DEGRADED status at RUL 29.9 — reduce to 50% load. Schedule maintenance window within the next shift cycle. Inspect upstream conditions before restoring full operation. Factory at 30.0% capacity — ΣPD/T at 49.58.,5.0,5.0,5.0,5.0,5.0,5.0,,7.309436798095703,0,,
keyword_only,early sign of coolant flow drop on Machine 5,5,False,,W3,HIGH,0.91,20.92870330810547,DEGRADED,20.0,74.375,[Floor Manager] QC & Pack entering DEGRADED status at RUL 20.9 — reduce to 50% load. Schedule maintenance window within the next shift cycle. Inspect upstream conditions before restoring full operation. Factory at 20.0% capacity — ΣPD/T at 74.38.,5.0,5.0,5.0,5.0,5.0,5.0,,6.867408752441406,0,,
keyword_only,bearing temperature spike on Machine 1,1,False,,Xs2,HIGH,0.93,7.853611946105957,OFFLINE,20.0,74.375,"[Floor Manager] Metal Press OFFLINE at RUL 7.9 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,6.355762481689453,0,,
keyword_only,motor temp anomaly on Machine 2,2,False,,Xs2,HIGH,0.93,8.613780975341797,OFFLINE,20.0,74.375,"[Floor Manager] Paint & Coat OFFLINE at RUL 8.6 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Paint & Coat workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,7.913112640380859,0,,
keyword_only,oil pressure surge on Machine 3,3,False,,Xs4,HIGH,0.92,11.103598594665527,OFFLINE,20.0,74.375,"[Floor Manager] PCB Line OFFLINE at RUL 11.1 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute PCB Line workload to remaining online machines. Factory at 20.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 74.38.",5.0,5.0,5.0,5.0,5.0,5.0,,9.228944778442385,0,,
keyword_only,vibration above normal on Machine 4,4,False,,Xs0,MEDIUM,0.88,30.807313919067383,ONLINE,30.0,49.583,[Floor Manager] Final Assembly is ONLINE and operating nominally. No immediate action required — continue monitoring. RUL at 30.8 cycles — next scheduled inspection on-cycle. Factory at 30.0% capacity — all systems healthy.,5.0,5.0,5.0,5.0,5.0,5.0,,6.752967834472656,0,,
keyword_only,coolant flow disruption on Machine 5,5,False,,W3,HIGH,0.91,19.105987548828125,DEGRADED,30.0,49.583,[Floor Manager] QC & Pack entering DEGRADED status at RUL 19.1 — reduce to 50% load. Schedule maintenance window within the next shift cycle. Inspect upstream conditions before restoring full operation. Factory at 30.0% capacity — ΣPD/T at 49.58.,5.0,5.0,5.0,5.0,5.0,5.0,,7.094383239746094,0,,
keyword_only,catastrophic bearing failure on Machine 1,1,False,,Xs2,HIGH,0.93,8.379983901977539,OFFLINE,30.0,49.583,"[Floor Manager] Metal Press OFFLINE at RUL 8.4 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 30.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 49.58.",5.0,5.0,5.0,5.0,5.0,5.0,,8.123636245727539,0,,
keyword_only,complete motor breakdown on Machine 2,2,False,,Xs2,HIGH,0.93,8.076682090759277,OFFLINE,30.0,49.583,"[Floor Manager] Paint & Coat OFFLINE at RUL 8.1 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Paint & Coat workload to remaining online machines. Factory at 30.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 49.58.",5.0,5.0,5.0,5.0,5.0,5.0,,7.541894912719727,0,,
keyword_only,oil pressure rupture on Machine 3,3,False,,Xs4,HIGH,0.92,12.155863761901855,OFFLINE,30.0,49.583,"[Floor Manager] PCB Line OFFLINE at RUL 12.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute PCB Line workload to remaining online machines. Factory at 30.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 49.58.",5.0,5.0,5.0,5.0,5.0,5.0,,7.141828536987305,0,,
keyword_only,explosion in Machine 4,4,False,,Xs2,HIGH,0.93,8.271370887756348,OFFLINE,10.0,148.75,"[Floor Manager] Final Assembly OFFLINE at RUL 8.3 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Final Assembly workload to remaining online machines. Factory at 10.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 148.75.",5.0,5.0,5.0,5.0,5.0,5.0,,8.362770080566406,0,,
keyword_only,shaft lock on Machine 5,5,False,,Xs2,HIGH,0.93,7.598848342895508,OFFLINE,0.0,inf,"[Floor Manager] QC & Pack OFFLINE at RUL 7.6 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute QC & Pack workload to remaining online machines. Factory at 0.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at inf.",5.0,5.0,5.0,5.0,5.0,5.0,,6.434917449951172,0,,
keyword_only,bearing overheat on metal press,1,False,,Xs2,HIGH,0.93,8.005563735961914,OFFLINE,0.0,inf,"[Floor Manager] Metal Press OFFLINE at RUL 8.0 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 0.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at inf.",5.0,5.0,5.0,5.0,5.0,5.0,,7.0438385009765625,0,,
keyword_only,oil pressure surge on QC line,5,False,,Xs4,HIGH,0.92,12.20570945739746,OFFLINE,0.0,inf,"[Floor Manager] QC & Pack OFFLINE at RUL 12.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute QC & Pack workload to remaining online machines. Factory at 0.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at inf.",5.0,5.0,5.0,5.0,5.0,5.0,,6.121397018432617,0,,
keyword_only,catastrophic failure on paint and coat,2,False,,Xs2,HIGH,0.93,8.215034484863281,OFFLINE,0.0,inf,"[Floor Manager] Paint & Coat OFFLINE at RUL 8.2 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Paint & Coat workload to remaining online machines. Factory at 0.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at inf.",5.0,5.0,5.0,5.0,5.0,5.0,,6.777763366699219,0,,
keyword_only,hi,1,True,"Input too short. Describe a machine fault e.g., 'bearing temperature spike on Machine 4'.",,,,,REJECTED,,,,,,,,,,,0.0066757202148437,0,,
keyword_only,what is the weather today,1,True,"Unrecognized fault type. Try something like: 'high pressure in compressor', 'bearing overheat on Machine 3', or 'vibration spike on Metal Press'.",,,,,REJECTED,,,,,,,,,,,0.02288818359375,0,,
keyword_only,minor bearing wobble on Machine 1,1,False,,Xs2,HIGH,0.93,8.348214149475098,OFFLINE,80.0,18.594,"[Floor Manager] Metal Press OFFLINE at RUL 8.3 — mandatory shutdown initiated. Halt all production on this unit and dispatch maintenance crew immediately. Reroute Metal Press workload to remaining online machines. Factory at 80.0% capacity — breakeven risk ACTIVE, authorize overtime. ΣPD/T at 18.59.",5.0,5.0,5.0,5.0,5.0,5.0,,6.349802017211914,1,,
