arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
gpt_oss_120b__production,T01-typo25-v1,mnior bearing wobble on Machine 1,0,Xs2,LOW,0.55,"[gpt-oss-120b] Minor bearing wobble detected on Machine 1, indicated by sensor Xs2.",False,1,2056.410312652588,1691.0,344.0
gpt_oss_120b__production,T01-typo25-v1,mnior bearing wobble on Machine 1,1,Xs2,LOW,0.55,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a minor wobble — early warning of potential bearing wear.,False,1,1060.6486797332764,1691.0,405.0
gpt_oss_120b__production,T01-typo25-v1,mnior bearing wobble on Machine 1,2,Xs2,LOW,0.55,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a minor wobble — early warning of potential bearing wear.,False,1,1108.8156700134275,1691.0,413.0
gpt_oss_120b__production,T01-typo25-v2,minor bearing woblbe on Machine 1,0,Xs2,LOW,0.55,[gpt-oss-120b] Bearing sensor Xs2 reports a minor wobble on Machine 1.,False,1,1130.0311088562012,1691.0,414.0
gpt_oss_120b__production,T01-typo25-v2,minor bearing woblbe on Machine 1,1,Xs2,LOW,0.52,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a minor wobble—early warning of potential bearing issue.,False,1,998.0711936950684,1691.0,371.0
gpt_oss_120b__production,T01-typo25-v2,minor bearing woblbe on Machine 1,2,Xs2,LOW,0.55,"[gpt-oss-120b] Minor bearing issue detected by sensor Xs2, indicating early signs of wear.",False,1,1014.5866870880128,1691.0,363.0
gpt_oss_120b__production,T01-typo25-v3,minor bearing wboble on Machine 1,0,Xs2,LOW,0.55,"[gpt-oss-120b] Minor bearing wobble detected on Machine 1, indicating early wear.",False,1,908.9512825012208,1690.0,331.0
gpt_oss_120b__production,T01-typo25-v3,minor bearing wboble on Machine 1,1,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a minor wobble, suggesting early bearing wear.",False,1,2006.8845748901367,1690.0,307.0
gpt_oss_120b__production,T01-typo25-v3,minor bearing wboble on Machine 1,2,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a minor wobble, suggesting early bearing wear.",False,1,918.7259674072266,1690.0,307.0
gpt_oss_120b__production,T01-typo50-v1,minr beraing wobble on Machine 1,0,Xs2,LOW,0.52,"[gpt-oss-120b] Bearing sensor Xs2 indicates a minor wobble, suggesting early-stage bearing wear.",False,1,1144.8068618774414,1692.0,435.0
gpt_oss_120b__production,T01-typo50-v1,minr beraing wobble on Machine 1,1,Xs2,LOW,0.55,[gpt-oss-120b] Bearing sensor Xs2 indicates a minor wobble — early warning of potential bearing wear.,False,1,1259.8977088928225,1692.0,492.0
gpt_oss_120b__production,T01-typo50-v1,minr beraing wobble on Machine 1,2,Xs2,LOW,0.55,[gpt-oss-120b] Bearing temperature sensor Xs2 shows a minor wobble — early warning of potential bearing issue.,False,1,1458.2266807556152,1692.0,582.0
gpt_oss_120b__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,0,Xs2,LOW,0.55,[gpt-oss-120b] Bearing sensor Xs2 indicates a minor wobble on Machine 1.,False,1,1524.8196125030518,1692.0,330.0
