arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
gemini_2_5_flash__production,T01-typo25-v1,mnior bearing wobble on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Minor bearing wobble detected by Vibration X sensor Xs0, indicating early signs of imbalance.",False,1,8348.559856414795,1525.0,1051.0
gemini_2_5_flash__production,T01-typo25-v1,mnior bearing wobble on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, suggesting an early warning of imbalance.",False,1,6287.137508392334,1525.0,975.0
gemini_2_5_flash__production,T01-typo25-v1,mnior bearing wobble on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Minor bearing wobble detected by Vibration X sensor Xs0, indicating early signs of imbalance.",False,1,6037.119388580322,1525.0,1051.0
gemini_2_5_flash__production,T01-typo25-v2,minor bearing woblbe on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning of imbalance.",False,1,4880.866289138794,1526.0,818.0
gemini_2_5_flash__production,T01-typo25-v2,minor bearing woblbe on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning of imbalance.",False,1,4938.184976577759,1526.0,818.0
gemini_2_5_flash__production,T01-typo25-v2,minor bearing woblbe on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, an early sign of bearing degradation.",False,1,7009.204387664795,1526.0,1081.0
gemini_2_5_flash__production,T01-typo25-v3,minor bearing wboble on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning sign.",False,1,6577.72421836853,1526.0,1204.0
gemini_2_5_flash__production,T01-typo25-v3,minor bearing wboble on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, suggesting an early warning of imbalance.",False,1,5174.056768417358,1526.0,780.0
gemini_2_5_flash__production,T01-typo25-v3,minor bearing wboble on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning sign.",False,1,7423.435211181641,1526.0,1204.0
gemini_2_5_flash__production,T01-typo50-v1,minr beraing wobble on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Minor vibration detected on the X-axis sensor Xs0, indicating a slight wobble.",False,1,5093.238115310669,1527.0,832.0
gemini_2_5_flash__production,T01-typo50-v1,minr beraing wobble on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 showing minor wobble, indicating an early warning of imbalance.",False,1,4235.811233520508,1527.0,750.0
gemini_2_5_flash__production,T01-typo50-v1,minr beraing wobble on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Minor vibration detected on the X-axis sensor Xs0, indicating a slight wobble.",False,1,4698.0180740356445,1527.0,832.0
gemini_2_5_flash__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning sign of imbalance.",False,1,7547.848463058472,1526.0,1013.0
gemini_2_5_flash__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning sign of imbalance.",False,1,5599.70760345459,1526.0,1013.0
gemini_2_5_flash__production,T01-typo50-v2,mnor bewaring wobble on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning sign of imbalance.",False,1,5538.796424865723,1526.0,1013.0
gemini_2_5_flash__production,T01-typo50-v3,minor bearig wqobble on Machine 1,0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, suggesting an early bearing issue.",False,1,9394.11449432373,1528.0,1718.0
gemini_2_5_flash__production,T01-typo50-v3,minor bearig wqobble on Machine 1,1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a minor wobble, suggesting an early bearing issue.",False,1,9794.336557388306,1528.0,1718.0
gemini_2_5_flash__production,T01-typo50-v3,minor bearig wqobble on Machine 1,2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a minor wobble, indicating an early warning sign of imbalance.",False,1,3951.4174461364746,1528.0,656.0
gemini_2_5_flash__production,T02-typo25-v1,slight motor temp druft on Machine 2,0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of potential thermal issues.",False,1,3951.911449432373,1526.0,673.0
gemini_2_5_flash__production,T02-typo25-v1,slight motor temp druft on Machine 2,1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of potential thermal issues.",False,1,4426.759958267212,1526.0,673.0
gemini_2_5_flash__production,T02-typo25-v1,slight motor temp druft on Machine 2,2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of potential overheating.",False,1,4115.520477294922,1526.0,729.0
gemini_2_5_flash__production,T02-typo25-v2,lsight motor temp drift on Machine 2,0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight drift, indicating an early warning of potential overheating.",False,1,4164.3431186676025,1526.0,670.0
gemini_2_5_flash__production,T02-typo25-v2,lsight motor temp drift on Machine 2,1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight drift, indicating an early warning of potential overheating.",False,1,4204.456567764282,1526.0,670.0
gemini_2_5_flash__production,T02-typo25-v2,lsight motor temp drift on Machine 2,2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of thermal change.",False,1,4098.474979400635,1526.0,601.0
gemini_2_5_flash__production,T02-typo25-v3,slight motor temp rrift on Machine 2,0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight drift, indicating an early warning of thermal change.",False,1,5411.585092544556,1526.0,755.0
gemini_2_5_flash__production,T02-typo25-v3,slight motor temp rrift on Machine 2,1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight drift, indicating an early warning of thermal change.",False,1,4975.568532943726,1526.0,755.0
gemini_2_5_flash__production,T02-typo25-v3,slight motor temp rrift on Machine 2,2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of potential thermal issues.",False,1,3859.27939414978,1526.0,650.0
gemini_2_5_flash__production,T02-typo50-v1,slight motoe temp drifvt on Machine 2,0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of a thermal anomaly.",False,1,3761.910915374756,1528.0,622.0
gemini_2_5_flash__production,T02-typo50-v1,slight motoe temp drifvt on Machine 2,1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight drift, indicating an early warning of thermal change.",False,1,3417.2613620758057,1528.0,418.0
gemini_2_5_flash__production,T02-typo50-v1,slight motoe temp drifvt on Machine 2,2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight drift, indicating an early warning of thermal change.",False,1,3049.9067306518555,1528.0,418.0
gemini_2_5_flash__production,T02-typo50-v2,slighf motolr temp drift on Machine 2,0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of thermal change.",False,1,5900.248050689697,1529.0,752.0
gemini_2_5_flash__production,T02-typo50-v2,slighf motolr temp drift on Machine 2,1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of thermal change.",False,1,5309.407472610474,1529.0,752.0
gemini_2_5_flash__production,T02-typo50-v2,slighf motolr temp drift on Machine 2,2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight drift, indicating an early warning of a thermal anomaly.",False,1,3991.615295410156,1529.0,646.0
