arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
llama3_2_3b__production,UAF07-0014117,SB: RM 219B: HIGH TEMP,0,Xs5,MEDIUM,0.83,[llama3.2:3b] Oil Temp sensor Xs5 showing elevated reading — possible overheating issue.,False,1,12329.271078109741,2152,80,False
llama3_2_3b__production,98281,Call out from heating plant to respond to a low pressure alarm.,0,W3,MEDIUM,0.83,[llama3.2:3b] Coolant flow sensor W3 showing elevated drop — possible pump issue.,False,1,12447.068214416504,2079,67,False
llama3_2_3b__production,FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",0,Xs9,MEDIUM,0.83,[llama3.2:3b] Coolant temp Xs9 showing elevated reading — possible compressor failure.,False,1,13136.869430541992,2195,65,False
llama3_2_3b__production,UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,0,W2,HIGH,0.98,[llama3.2:3b] Boiler power kW sensor showing severe spike — possible boiler failure.,False,1,14668.186664581299,2155,74,False
llama3_2_3b__production,104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,0,W3,MEDIUM,0.83,[llama3.2:3b] Coolant flow sensor W3 showing elevated drop — possible wall breach or leak.,False,1,13152.12082862854,2083,69,False
llama3_2_3b__production,FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),0,Xs2,MEDIUM,0.83,[llama3.2:3b] Bearing temperature sensor Xs2 showing elevated reading — possible heat pump malfunction.,False,1,15033.56122970581,2189,79,False
llama3_2_3b__production,UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,0,Xs10,MEDIUM,0.73,[llama3.2:3b] Ambient Temp sensor Xs10 showing elevated reading — possible heating issue.,False,1,15091.870307922363,2152,80,False
llama3_2_3b__production,83184,Unit tripped on flame failure,0,W0,HIGH,0.98,[llama3.2:3b] Unit tripped due to flame failure,False,1,11293.327569961548,2072,57,False
llama3_2_3b__production,FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),0,Xs10,MEDIUM,0.65,[llama3.2:3b] Ambient Temp sensor Xs10 showing slight drop — possible heating system failure.,False,1,14965.253114700317,2185,79,False
llama3_2_3b__production,UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,0,W0,HIGH,0.85,"[llama3.2:3b] Motor RPM (drive speed, motor rotation rate) showing severe spike — possible motor failure.",False,1,14497.432231903076,2153,75,False
