arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
gpt_oss_120b__production,UAF07-0014117,SB: RM 219B: HIGH TEMP,0,Xs2,MEDIUM,0.78,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates elevated temperature — possible overheating.,False,1,3353.311777114868,2209,576,False
gpt_oss_120b__production,98281,Call out from heating plant to respond to a low pressure alarm.,0,Xs4,MEDIUM,0.78,[gpt-oss-120b] Pressure sensor Xs4 indicates low oil pressure — potential leak or pump issue.,False,1,1677.2568225860596,2143,668,False
gpt_oss_120b__production,FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",0,Xs9,MEDIUM,0.78,"[gpt-oss-120b] Coolant temperature sensor Xs9 indicates elevated temperature, suggesting a possible compressor failure.",False,1,1223.6089706420898,2262,489,False
gpt_oss_120b__production,UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,0,Xs2,MEDIUM,0.78,[gpt-oss-120b] Boiler failure detected via bearing temperature sensor Xs2 with an elevated reading.,False,1,1639.7461891174316,2212,649,False
gpt_oss_120b__production,104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,0,W3,MEDIUM,0.78,"[gpt-oss-120b] W3 sensor shows a notable fluid flow drop, indicating a ceiling leak delivering water into the kitchen area.",False,1,1345.4279899597168,2147,522,False
gpt_oss_120b__production,FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),0,Xs2,HIGH,0.92,[gpt-oss-120b] Heat pump alarm activates bearing temperature sensor Xs2 with a high overheat reading.,False,1,1232.83052444458,2255,471,False
gpt_oss_120b__production,UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a medium-level out-of-range reading.,False,1,1724.65181350708,2209,710,False
gpt_oss_120b__production,83184,Unit tripped on flame failure,0,Xs2,HIGH,0.92,"[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a severe overheat due to flame failure, triggering a unit trip.",False,1,1408.9386463165283,2136,562,False
gpt_oss_120b__production,FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Temperature sensor Xs2 shows a notable low reading, indicating loss of heat to the building.",False,1,1786.1990928649902,2251,747,False
gpt_oss_120b__production,UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,0,Xs2,MEDIUM,0.78,[gpt-oss-120b] Bearing temperature sensor Xs2 shows a medium severity failure that occurred three times.,False,1,1688.1523132324219,2210,615,False
gpt_oss_120b__production,122261,In mens 330.1 Second stall toilet seat is broke right off,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Broken toilet seat reported, mapped to bearing temperature sensor Xs2 as a medium severity fault.",False,1,1669.2147254943848,2144,540,False
gpt_oss_120b__production,FM-592595,"After hours - AVH: UNL PD paged, flow alarm on the fire panel. Was called in a second time at 12:30 a.m. (General Comments)",0,W3,MEDIUM,0.78,"[gpt-oss-120b] Flow sensor W3 detected a significant drop, indicating a possible coolant leak.",False,1,1479.449987411499,2271,526,False
gpt_oss_120b__production,UAF07-0019611,SB: WR CAFE: COOLER HIGH TEMP ALARM,0,Xs9,MEDIUM,0.78,[gpt-oss-120b] Coolant temperature sensor Xs9 reading elevated — indicates possible cooling system overheating.,False,1,1559.0012073516846,2212,661,False
gpt_oss_120b__production,113097,ceiling leak looks like tile is ready to break out,0,W3,MEDIUM,0.78,"[gpt-oss-120b] Ceiling leak sensor W3 indicates a significant fluid loss, likely a pending tile rupture.",False,1,988.4917736053467,2140,397,False
gpt_oss_120b__production,FM-644350,"Sensor troubles at Selleck 7,8 and 9000 buildings. (General comments)",0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] General sensor trouble reported, defaulting to bearing temperature sensor Xs2 with moderate anomaly.",False,1,1459.0208530426025,2253,547,False
gpt_oss_120b__production,UAF09-0013481,SB: KITCHEN: LEAK UNDER DISH SINK,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Bearing temperature sensor Xs2 showing moderate spike — possible leak detected.,False,1,1217.0331478118896,2213,482,False
gpt_oss_120b__production,126604,CB 232 is sitting at 23. They have tried to lower the temperature about an hour ago and the instructor has advised the room is still very warm.,0,Xs10,MEDIUM,0.73,[gpt-oss-120b] Ambient temperature sensor Xs10 indicates elevated heat — the room remains warm despite recent cooling attempts.,False,1,1271.066665649414,2162,461,False
gpt_oss_120b__production,FM-511636,After hours -- could not see Family Resource Center on jEMS - believed the steam heat to be off. (General Comments),0,Xs10,MEDIUM,0.73,[gpt-oss-120b] Ambient temperature sensor Xs10 indicates a possible loss of steam heating.,False,1,1214.576244354248,2259,510,False
gpt_oss_120b__production,UAF07-0025244,SB: BSMT MECH RM: LOUD BANGING NOISE,0,Xs12,MEDIUM,0.73,[gpt-oss-120b] Acoustic sensor Xs12 detected a loud banging noise indicating a possible mechanical impact.,False,1,1240.5140399932861,2216,419,False
gpt_oss_120b__production,77260,Roof leak - bladder is not catching all of the water R/C Darcy,0,W3,MEDIUM,0.78,"[gpt-oss-120b] W3 sensor shows a fluid leak with reduced flow, indicating the roof bladder is not capturing all water.",False,1,2476.2768745422363,2144,571,False
gpt_oss_120b__production,FM-525186,There is a major water leak in ANSC room D165. (General comments),0,W3,MEDIUM,0.78,[gpt-oss-120b] Coolant flow sensor W3 shows a major fluid leak in ANSC room D165.,False,1,1177.8481006622314,2251,455,False
gpt_oss_120b__production,UAF09-0009619,SB: ZONE #4 TEMP OUT OF RANGE,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 indicates an out-of-range reading, suggesting possible overheating.",False,1,2192.4829483032227,2210,606,False
gpt_oss_120b__production,104292,assuming ceiling leak - water coming into kitchen area,0,W3,MEDIUM,0.78,[gpt-oss-120b] Coolant flow sensor W3 shows a notable drop indicating a leak affecting the kitchen ceiling.,False,1,1299.0808486938477,2139,501,False
gpt_oss_120b__production,FM-634099,After Hours - LLS Leak in Room 3A stacks area. (General Comments),0,W3,HIGH,0.92,[gpt-oss-120b] Coolant flow sensor W3 indicates a severe leak in the stacks area.,False,1,928.4741878509521,2252,371,False
gpt_oss_120b__production,UAF08-0017618,SB: WATER SOFTENER SMALL LEAK FROM AREA,0,W3,LOW,0.52,"[gpt-oss-120b] Water softener leak detected, coolant flow sensor W3 shows a minor drop.",False,1,908.1766605377197,2211,376,False
gpt_oss_120b__production,120400,Leak from ceiling SW corner of work control,0,W3,MEDIUM,0.78,[gpt-oss-120b] Coolant flow sensor W3 indicates a leak — possible ceiling pipe breach.,False,1,1270.542860031128,2138,324,False
gpt_oss_120b__production,FM-611139,After hours - Glycol leak in RM015. Single ceiling pad damaged and small amount leaked on floor. (General comments),0,W3,LOW,0.55,"[gpt-oss-120b] Coolant flow sensor W3 detected a minor glycol leak on the ceiling, indicating a small coolant loss.",False,1,1632.5433254241943,2259,430,False
gpt_oss_120b__production,UAF08-0015197,SB: 726B: HEATING PUMP GOING DRY,0,W3,MEDIUM,0.78,"[gpt-oss-120b] Coolant flow sensor W3 indicates a medium‑severity drop, suggesting the heating pump may be drying out.",False,1,1190.4222965240479,2214,440,False
gpt_oss_120b__production,116962,Water from toilet leak in WA 224 (See FAMIS request 116961) leaked through ceiling into the bathroom light fixture.,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 showing moderate anomaly, likely due to water intrusion from the toilet leak.",False,1,1543.9655780792236,2157,660,False
gpt_oss_120b__production,FM-574137,After Hours - Control Air Compressor running continuously. (General Comments),0,W2,MEDIUM,0.78,[gpt-oss-120b] Power consumption sensor W2 indicates continuous operation of the air compressor.,False,1,2234.3029975891113,2247,800,False
gpt_oss_120b__production,UAF08-0016260,SB: RM 301: CEILING LEAK,0,W3,MEDIUM,0.73,"[gpt-oss-120b] Ceiling leak detected, coolant flow sensor W3 shows abnormal drop.",False,1,903.1467437744141,2210,351,False
gpt_oss_120b__production,101579,Water running down elevator shaft Kone called Monday Aug 20/18 @ 5:30pm Ref #13010804,0,W3,MEDIUM,0.78,[gpt-oss-120b] Water leak in the elevator shaft is causing an abnormal drop in coolant flow sensor W3.,False,1,1127.1510124206543,2155,426,False
gpt_oss_120b__production,FM-670199,After Hours - HEWP Trouble Alarm on Fire Panel Fire Pump Rm 15 (General Comments),0,Xs2,HIGH,0.92,"[gpt-oss-120b] Fire panel alarm triggers a high‑severity alert, assigned to sensor Xs2 (bearing temperature).",False,1,957.028865814209,2254,385,False
gpt_oss_120b__production,UAF07-0013841,SB: BRISTOL BAY: SF2 TEMP IN ALARM,0,Xs2,MEDIUM,0.78,[gpt-oss-120b] Temperature alarm detected on sensor Xs2 indicating possible bearing overheating.,False,1,1095.510482788086,2213,424,False
gpt_oss_120b__production,93820,ceiling leak - pretty decent - tiles fallen down ELECTRICIANS added - ceiling tile with sensor in it,0,W3,MEDIUM,0.78,[gpt-oss-120b] Ceiling leak detected by sensor W3 causing water intrusion and tile collapse.,False,1,1137.6748085021973,2151,486,False
gpt_oss_120b__production,FM-721791,After Hours - JH Basement women's restroom toilet flush valve continuously running. (General Comments),0,W3,MEDIUM,0.78,[gpt-oss-120b] Fluid flow sensor W3 shows continuous operation — possible flush valve leak.,False,1,1710.2746963500977,2252,624,False
gpt_oss_120b__production,UAF09-0024570,SB: BRISTOL BAY: GLYCOL TEMP IN ALARM,0,Xs9,MEDIUM,0.78,"[gpt-oss-120b] Coolant temperature sensor Xs9 indicates an alarm condition, suggesting glycol overheating.",False,1,799.4406223297119,2214,315,False
gpt_oss_120b__production,88271,There is an active leak in the ceiling above Gina Swan's desk in LY 610. Can this be looked into and the ceiling tile replaced. Thank you.,0,W3,MEDIUM,0.78,"[gpt-oss-120b] Ceiling leak detected, mapped to coolant flow sensor W3 indicating a fluid leak.",False,1,1218.5406684875488,2162,503,False
gpt_oss_120b__production,FM-511917,There is a steam leak in a pipe above the cage washer in small animal room D178.,0,W3,MEDIUM,0.78,"[gpt-oss-120b] Coolant flow sensor W3 shows a severe drop, suggesting a steam leak in the pipe above the cage washer.",False,1,1161.5381240844727,2253,477,False
gpt_oss_120b__production,UAF07-0014855,SB: SERVER RM HIGH TEMP ALARM,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Temperature sensor Xs2 shows elevated reading — potential bearing overheating in the server room.,False,1,1450.6046772003174,2208,632,False
gpt_oss_120b__production,87354,There is a ceiling leak near the washrooms main floor corridor around a access hatch in the ceiling. There is some concern about the hatch falling as the drywall around the hatch is swelling,0,W3,MEDIUM,0.78,"[gpt-oss-120b] Coolant flow sensor W3 shows a severe leak near the ceiling hatch, indicating possible water intrusion.",False,1,1289.433240890503,2166,469,False
gpt_oss_120b__production,FM-526390,After Hours - MOLR CHW Building Return Pressure Low Alarm (General Comments),0,Xs4,MEDIUM,0.73,[gpt-oss-120b] Pressure sensor Xs4 reporting low return pressure — possible pump or valve issue.,False,1,1592.6084518432617,2250,690,False
gpt_oss_120b__production,UAF09-0024939,SB: SF4 GROWTH CHAMBER TEMP ALARM,0,Xs2,MEDIUM,0.78,"[gpt-oss-120b] Temperature alarm on growth chamber triggers Xs2 sensor reading high, indicating possible overheating.",False,1,1445.7554817199707,2213,509,False
gpt_oss_120b__production,116300,"Convection oven, temperature of top oven. Over heating Main Kitchen, Bakers Section",0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Temperature sensor Xs2 indicates overheating in the main kitchen convection oven.,False,1,1087.404727935791,2146,360,False
gpt_oss_120b__production,FM-513654,There is a leak in the ceiling of PLSH room 372.,0,W3,MEDIUM,0.78,"[gpt-oss-120b] Ceiling leak detected, coolant flow sensor W3 shows abnormal drop indicating possible water intrusion.",False,1,1107.3555946350098,2249,404,False
gpt_oss_120b__production,UAF08-0000759,SB: ALARM TEMP BELOW 35 DEGREES,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates low temperature alarm — possible cooling issue.,False,1,1481.3451766967773,2211,563,False
gpt_oss_120b__production,120491,Please have a look at SP 005. I believe it’s been running for quite a while. The pump is very hot. I shut off the switch at the motor starter. Thank you.,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Pump temperature reading on sensor Xs2 is high, indicating possible bearing overheating.",False,1,1159.498929977417,2169,474,False
gpt_oss_120b__production,FM-577090,After hours - HHW2 had differential pressure error. Diff PR was too high. Calling for 5 psi and could only get down to 7.2 psi at minimum pump speed. (General comments),0,Xs4,MEDIUM,0.78,[gpt-oss-120b] Oil pressure sensor Xs4 reporting elevated pressure — differential pressure error persists.,False,1,1389.6470069885254,2276,459,False
gpt_oss_120b__production,UAF08-0013306,SB: AH #6 DISCHARGE A TEMP LOW,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Temperature sensor Xs2 reports a low value, indicating a possible early cooling issue.",False,1,1946.7170238494873,2211,728,False
gpt_oss_120b__production,121981,"the first stall of toilet bow was plug again, please check thanks",0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Sensor Xs2 shows a moderate anomaly possibly related to the reported toilet stall blockage.,False,1,1229.9919128417969,2143,486,False
gpt_oss_120b__production,FM-620119,"After Hours - Event going on at TEMP and AHUs were not running, reported but Brooke Hay (General comments)",0,W0,HIGH,0.92,"[gpt-oss-120b] Motor RPM sensor W0 indicates a sudden stop of the AHU drive, suggesting a high‑severity motor failure.",False,1,1243.443250656128,2257,517,False
gpt_oss_120b__production,UAF09-0010062,SB: AIR HANDLER #11 SUPPLY AIR TEMP LOW,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Temperature sensor Xs2 indicates low supply air temperature, suggesting possible cooling system issue.",False,1,2142.9786682128906,2212,820,False
gpt_oss_120b__production,110016,WA 545 - thermostat is not working properly. Temperature is set at 72 degrees but the room is super hot.,0,Xs10,MEDIUM,0.73,"[gpt-oss-120b] Ambient temperature sensor Xs10 indicates high room temperature despite thermostat setting, suggesting thermostat failure.",False,1,2297.72686958313,2154,541,False
gpt_oss_120b__production,FM-713963,"After Hours - DEV Low system battery, ground fault alarm. (General Comments)",0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Sensor Xs2 reporting low system battery condition, indicating a potential ground fault.",False,1,1981.349229812622,2250,677,False
gpt_oss_120b__production,UAF07-0022548,SB: 1ST FLR: LEAK IN CEILING,0,W3,MEDIUM,0.73,"[gpt-oss-120b] Ceiling leak detected, coolant flow sensor W3 shows abnormal drop.",False,1,836.0350131988525,2213,313,False
gpt_oss_120b__production,128052,Second sink from the right has a tap that has been leaking for some time. The leak has now turned into a stream and can't be turned off.,0,W3,MEDIUM,0.78,"[gpt-oss-120b] W3 sensor shows a severe fluid flow drop, indicating the sink tap leak has become a continuous stream.",False,1,1717.9346084594727,2160,698,False
gpt_oss_120b__production,FM-624708,(After Hours) Custodians notified Jason Ross of a leak in the pottery room at Richards. Bucket was used to contain the leak until morning. No damage. (General Comments),0,W3,MEDIUM,0.78,"[gpt-oss-120b] Coolant flow sensor W3 shows a moderate leak detected after hours, with a bucket used to contain it until morning.",False,1,1715.1336669921875,2271,585,False
gpt_oss_120b__production,UAF08-0012504,SB: DOMESTIC HW TEMP LOW,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Temperature sensor Xs2 reading low domestic hot water temperature, indicating a possible heating problem.",False,1,2492.7752017974854,2208,981,False
gpt_oss_120b__production,84255,Leak on the heating system.,0,W3,MEDIUM,0.78,[gpt-oss-120b] Coolant flow sensor W3 indicates a leak in the heating system.,False,1,1596.2765216827393,2136,441,False
gpt_oss_120b__production,FM-515595,After hour - The domestic water booster pump at OLDH is leaking. (General comments),0,W3,MEDIUM,0.78,[gpt-oss-120b] Fluid flow sensor W3 indicates a moderate leak in the domestic water booster pump.,False,1,2359.935998916626,2252,773,False
