arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
gemini_2_5_flash_nothink__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,0,Xs2,MEDIUM,0.68,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates an elevated temperature.,False,1,4129.852533340454,1533,94
gemini_2_5_flash_nothink__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,1,Xs2,MEDIUM,0.68,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates an elevated temperature.,False,1,1644.5000171661377,1533,94
gemini_2_5_flash_nothink__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,2,Xs2,LOW,0.61,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight increase in temperature.,False,1,1876.9755363464355,1533,96
gemini_2_5_flash_nothink__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",0,Xs3,LOW,0.61,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates a slight increase in temperature, an early warning sign.",False,1,2073.349952697754,1531,101
gemini_2_5_flash_nothink__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",1,Xs3,LOW,0.61,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates a slight increase in temperature, an early warning sign.",False,1,1750.65279006958,1531,101
gemini_2_5_flash_nothink__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",2,Xs3,LOW,0.61,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates a slight increase in temperature, an early warning sign.",False,1,1866.685152053833,1531,101
gemini_2_5_flash_nothink__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,0,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight drop in pressure, an early warning sign.",False,1,1833.2412242889404,1531,101
gemini_2_5_flash_nothink__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,1,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight drop in pressure, an early warning sign.",False,1,1826.397180557251,1531,101
gemini_2_5_flash_nothink__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,2,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight drop in pressure, an early warning sign.",False,1,1772.9778289794922,1531,101
gemini_2_5_flash_nothink__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",0,Xs0,LOW,0.61,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a faint buzz, suggesting an early warning of imbalance.",False,1,1792.3548221588135,1537,102
gemini_2_5_flash_nothink__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",1,Xs0,LOW,0.61,"[gemini-2.5-flash] Vibration X sensor Xs0 detecting a faint buzz, indicating an early warning of imbalance.",False,1,1791.7819023132324,1537,102
gemini_2_5_flash_nothink__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",2,Xs0,LOW,0.61,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates a faint buzz, suggesting an early warning of imbalance.",False,1,1733.668327331543,1537,102
gemini_2_5_flash_nothink__production,L05,coolant flow on Machine 5 is down about 3 percent from baseline,0,W3,MEDIUM,0.68,[gemini-2.5-flash] Coolant flow sensor W3 indicates a drop in flow rate from baseline.,False,1,1751.8563270568848,1531,99
