arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens
gpt_oss_120b__production,A01-original,minor bearing wobble on Machine 1,0,Xs2,LOW,0.55,[gpt-oss-120b] Bearing temperature sensor Xs2 indicates a minor wobble — early warning of potential bearing wear.,False,1,2167.8221225738525,1690,418
gpt_oss_120b__production,A01-original,minor bearing wobble on Machine 1,1,Xs2,LOW,0.55,[gpt-oss-120b] Bearing sensor Xs2 detecting a minor wobble on Machine 1.,False,1,1222.9588031768799,1690,460
gpt_oss_120b__production,A01-original,minor bearing wobble on Machine 1,2,Xs2,LOW,0.52,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a minor wobble indication, suggesting early bearing wear.",False,1,1286.346673965454,1690,404
gpt_oss_120b__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",0,Xs2,LOW,0.55,[gpt-oss-120b] Bearing sensor Xs2 indicates slight play — early sign of potential degradation.,False,1,2182.31201171875,1699,424
gpt_oss_120b__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",1,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing sensor Xs2 shows a minor increase, indicating early play in the bearing.",False,1,1266.883134841919,1699,465
gpt_oss_120b__production,A01-shopfloor,"Machine 1 bearing has a tiny bit of play in it, nothing to stop for",2,Xs2,LOW,0.52,"[gpt-oss-120b] Bearing sensor Xs2 shows a minor early play, indicating a low‑severity issue.",False,1,1251.1661052703857,1699,465
gpt_oss_120b__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",0,Xs0,LOW,0.52,[gpt-oss-120b] A faint vibration detected by sensor Xs0 indicates a low-level bearing housing issue.,False,1,1084.7878456115723,1702,392
gpt_oss_120b__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",1,Xs0,LOW,0.55,"[gpt-oss-120b] Vibration sensor Xs0 detects a faint shake at the bearing housing, indicating a minor early-stage issue.",False,1,1289.2680168151855,1702,410
gpt_oss_120b__production,A01-consequence,"you can just feel a faint shake at the Machine 1 bearing housing, output and finish are fine",2,Xs0,LOW,0.55,"[gpt-oss-120b] Vibration sensor Xs0 detects a faint shake at the bearing housing, indicating a minor early-stage issue.",False,1,1167.3059463500977,1702,433
gpt_oss_120b__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",0,Xs2,LOW,0.52,"[gpt-oss-120b] Bearing sensor Xs2 indicates a slight play, an early warning of potential wear.",False,1,1226.7870903015137,1700,469
gpt_oss_120b__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",1,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing sensor Xs2 shows a slight increase, indicating minor play in the bearing.",False,1,2346.6386795043945,1700,483
gpt_oss_120b__production,A01-hinglish,"Machine 1 ke bearing mein thoda sa khel hai, abhi chalne do",2,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing sensor Xs2 shows a slight increase, indicating minor play in the bearing.",False,1,1104.1669845581055,1700,424
gpt_oss_120b__production,A01-sms,"M1 bearing tiny play, ok for now, check next PM",0,Xs2,LOW,0.55,[gpt-oss-120b] Bearing sensor Xs2 indicates minor play — monitor and schedule maintenance at next PM.,False,1,4141.840696334839,1695,488
gpt_oss_120b__production,A01-sms,"M1 bearing tiny play, ok for now, check next PM",1,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing sensor Xs2 shows a minor play — early warning, monitor until next preventive maintenance.",False,1,823.2662677764893,1695,309
gpt_oss_120b__production,A01-sms,"M1 bearing tiny play, ok for now, check next PM",2,Xs2,LOW,0.55,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a minor increase indicating slight play, monitor until next preventive maintenance.",False,1,2148.5869884490967,1695,309
gpt_oss_120b__production,A02-original,slight motor temp drift on Machine 2,0,Xs3,LOW,0.52,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight upward drift, indicating a minor early-stage heating issue.",False,1,853.9578914642334,1690,281
gpt_oss_120b__production,A02-original,slight motor temp drift on Machine 2,1,Xs3,LOW,0.52,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight upward drift, indicating a minor early-stage heating issue.",False,1,817.8081512451172,1690,272
gpt_oss_120b__production,A02-original,slight motor temp drift on Machine 2,2,Xs3,LOW,0.52,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight upward drift, indicating a minor early-stage heating issue.",False,1,2214.810848236084,1690,287
gpt_oss_120b__production,A02-shopfloor,"Machine 2 motor is running a degree or so warmer than its usual, nothing to worry about",0,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight increase, indicating a minor warm-up but not a critical issue.",False,1,1450.779676437378,1701,461
gpt_oss_120b__production,A02-shopfloor,"Machine 2 motor is running a degree or so warmer than its usual, nothing to worry about",1,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight increase, indicating a minor warm-up but not a concern.",False,1,1295.1245307922363,1701,356
gpt_oss_120b__production,A02-shopfloor,"Machine 2 motor is running a degree or so warmer than its usual, nothing to worry about",2,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight rise, indicating a minor warm‑up but not a concern.",False,1,1057.969331741333,1701,342
gpt_oss_120b__production,A02-consequence,"Machine 2 motor temperature has moved up by about one degree over the week, everything else normal",0,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight rise over the week, indicating a possible early overheating issue.",False,1,1319.8537826538086,1701,472
gpt_oss_120b__production,A02-consequence,"Machine 2 motor temperature has moved up by about one degree over the week, everything else normal",1,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight rise, indicating a possible early overheating issue.",False,1,2237.4978065490723,1701,504
gpt_oss_120b__production,A02-consequence,"Machine 2 motor temperature has moved up by about one degree over the week, everything else normal",2,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight upward trend over the week, indicating a possible early overheating issue.",False,1,5808.780908584595,1701,694
gpt_oss_120b__production,A02-hinglish,"Machine 2 ka motor pichhle hafte se thoda sa zyada garam chal raha hai, bas nazar rakho",0,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight increase, indicating a minor overheating condition.",False,1,2582.6804637908936,1709,429
gpt_oss_120b__production,A02-hinglish,"Machine 2 ka motor pichhle hafte se thoda sa zyada garam chal raha hai, bas nazar rakho",1,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight increase, indicating a minor overheating that should be monitored.",False,1,1213.3312225341797,1709,450
gpt_oss_120b__production,A02-hinglish,"Machine 2 ka motor pichhle hafte se thoda sa zyada garam chal raha hai, bas nazar rakho",2,Xs3,LOW,0.55,"[gpt-oss-120b] Motor temperature sensor Xs3 shows a slight increase, indicating a minor overheating condition.",False,1,1362.6816272735596,1709,515
