arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms
gemini_2_5_flash__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing a slight increase, indicating an early warning of potential degradation.",False,1,5820.45841217041
gemini_2_5_flash__semantic,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight increase in temperature, suggesting early degradation.",False,1,3284.992218017578
gemini_3_5_flash__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,0,Xs2,LOW,0.58,[gemini-3.5-flash] Bearing temperature sensor Xs2 showing slight elevation indicating early thermal drift.,False,1,4924.745798110962
gemini_3_5_flash__semantic,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,0,Xs2,LOW,0.58,[gemini-3.5-flash] Bearing temperature sensor Xs2 is slightly elevated indicating early stage thermal degradation.,False,1,3572.847366333008
gemini_2_5_flash__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,1,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing a slight increase, indicating an early warning of potential degradation.",False,1,5953.258037567139
gemini_2_5_flash__production,L01,Machine 1 bearing is running a couple of degrees warmer than it did last week,2,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing a slight increase, indicating an early warning of potential degradation.",False,1,3307.759046554565
gemini_2_5_flash__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates a slight increase, suggesting an early warning of potential overheating.",False,1,4109.823942184448
gemini_2_5_flash__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates a slight increase, suggesting an early warning of potential overheating.",False,1,4211.23480796814
gemini_2_5_flash__production,L02,"motor on Machine 2 feels a touch warmer than normal, nothing urgent",2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates a slight increase, suggesting an early warning of potential overheating.",False,1,4339.562177658081
gemini_2_5_flash__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,0,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight drop, suggesting an early warning of a lubrication issue.",False,1,4303.40838432312
