arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
gpt_oss_120b__production,UAF07-0014117,SB: RM 219B: HIGH TEMP,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Temperature sensor Xs2 indicates elevated temperature — possible bearing overheating.,False,1,2448.890447616577,1691.0,460.0,False
gpt_oss_120b__production,98281,Call out from heating plant to respond to a low pressure alarm.,0,Xs4,MEDIUM,0.73,[gpt-oss-120b] Pressure sensor Xs4 indicates low pressure — possible leak or pump issue.,False,1,1594.599723815918,1695.0,630.0,False
gpt_oss_120b__production,FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",0,Xs9,MEDIUM,0.78,"[gpt-oss-120b] Coolant temperature sensor Xs9 indicates elevated temperature, suggesting a faulty compressor.",False,1,1132.011890411377,1710.0,440.0,False
gpt_oss_120b__production,UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a medium-level fault, indicating a possible boiler failure.",False,1,1587.268590927124,1694.0,605.0,False
gpt_oss_120b__production,104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a moderate spike, flagged due to an ambiguous ceiling leak report.",False,1,1148.052215576172,1699.0,429.0,False
gpt_oss_120b__production,FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Heat pump alarm triggers temperature sensor Xs2 indicating elevated heat in room 206.,False,1,5168.48087310791,1703.0,434.0,False
gpt_oss_120b__production,UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Preheat temperature sensor Xs2 reading elevated, indicating a possible thermal issue.",False,1,1028.1026363372805,1691.0,390.0,False
gpt_oss_120b__production,83184,Unit tripped on flame failure,0,Xs2,HIGH,0.92,[gpt-oss-120b] Flame failure caused a severe spike in bearing temperature sensor Xs2.,False,1,1138.4191513061523,1688.0,442.0,False
gpt_oss_120b__production,FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Temperature sensor Xs2 reporting unusually low heat, indicating the building heating is off after hours.",False,1,1773.1451988220217,1699.0,744.0,False
gpt_oss_120b__production,UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Bearing temperature sensor Xs2 shows a medium severity failure detected three times.,False,1,1881.5431594848635,1692.0,497.0,False
gpt_oss_120b__production,122261,In mens 330.1 Second stall toilet seat is broke right off,0,Xs2,MEDIUM,0.73,[gpt-oss-120b] Toilet seat break mapped to bearing temperature sensor Xs2 indicating a moderate anomaly.,False,1,2192.543029785156,1696.0,499.0,False
gpt_oss_120b__production,FM-592595,"After hours - AVH: UNL PD paged, flow alarm on the fire panel. Was called in a second time at 12:30 a.m. (General Comments)",0,W3,MEDIUM,0.78,[gpt-oss-120b] Flow alarm detected by coolant flow sensor W3 indicating possible fire suppression system issue.,False,1,1158.6933135986328,1719.0,427.0,False
gpt_oss_120b__production,UAF07-0019611,SB: WR CAFE: COOLER HIGH TEMP ALARM,0,Xs9,MEDIUM,0.78,[gpt-oss-120b] Coolant temperature sensor Xs9 indicates elevated temperature — possible cooling system overheating.,False,1,1256.1166286468506,1694.0,534.0,False
gpt_oss_120b__production,113097,ceiling leak looks like tile is ready to break out,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a moderate spike, indicating a possible ceiling leak that may lead to structural failure.",False,1,1739.159107208252,1692.0,685.0,False
gpt_oss_120b__production,FM-644350,"Sensor troubles at Selleck 7,8 and 9000 buildings. (General comments)",0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] General sensor trouble reported, mapped to bearing temperature sensor Xs2 with moderate anomaly.",False,1,1128.937005996704,1701.0,438.0,False
gpt_oss_120b__production,UAF09-0013481,SB: KITCHEN: LEAK UNDER DISH SINK,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a moderate spike, possibly linked to an unidentified leak.",False,1,1249.5934963226318,1695.0,477.0,False
gpt_oss_120b__production,126604,CB 232 is sitting at 23. They have tried to lower the temperature about an hour ago and the instructor has advised the room is still very warm.,0,Xs10,MEDIUM,0.73,[gpt-oss-120b] Ambient temperature sensor Xs10 indicates elevated heat in the room despite cooling attempts.,False,1,1169.00897026062,1714.0,493.0,False
gpt_oss_120b__production,FM-511636,After hours -- could not see Family Resource Center on jEMS - believed the steam heat to be off. (General Comments),0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Bearing temperature sensor Xs2 shows a moderate rise, possibly related to the reported steam heat being off.",False,1,1285.743236541748,1707.0,520.0,False
gpt_oss_120b__production,UAF07-0025244,SB: BSMT MECH RM: LOUD BANGING NOISE,0,Xs12,MEDIUM,0.73,[gpt-oss-120b] Acoustic sensor Xs12 detected a loud banging noise indicating a possible mechanical issue.,False,1,1170.0904369354248,1698.0,451.0,False
gpt_oss_120b__production,77260,Roof leak - bladder is not catching all of the water R/C Darcy,0,W3,MEDIUM,0.73,"[gpt-oss-120b] W3 sensor indicates a fluid leak in the roof bladder, showing reduced flow detection.",False,1,1259.5651149749756,1696.0,474.0,False
gpt_oss_120b__production,FM-525186,There is a major water leak in ANSC room D165. (General comments),0,W3,MEDIUM,0.78,"[gpt-oss-120b] Water leak detected, coolant flow sensor W3 shows a significant drop indicating a major leak.",False,1,3273.7979888916016,1699.0,360.0,False
gpt_oss_120b__production,UAF09-0009619,SB: ZONE #4 TEMP OUT OF RANGE,0,Xs2,MEDIUM,0.73,"[gpt-oss-120b] Temperature sensor Xs2 indicates out-of-range reading, suggesting possible overheating.",False,1,1894.172430038452,1692.0,384.0,False
gpt_oss_120b__production,104292,assuming ceiling leak - water coming into kitchen area,0,W3,MEDIUM,0.73,[gpt-oss-120b] Coolant flow sensor W3 indicates a moderate leak — water intrusion from the ceiling into the kitchen.,False,1,1467.2930240631104,1691.0,457.0,False
