arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms,input_tokens,output_tokens,replicated
gemini_2_5_flash__production,UAF07-0014117,SB: RM 219B: HIGH TEMP,0,Xs2,HIGH,0.91,[gemini-2.5-flash] Bearing temperature sensor Xs2 critical — thermal threshold exceeded.,False,1,6883.537769317627,2015,630,False
gemini_2_5_flash__production,98281,Call out from heating plant to respond to a low pressure alarm.,0,Xs4,MEDIUM,0.75,[gemini-2.5-flash] Oil pressure sensor Xs4 indicating a low pressure alarm in the heating plant system.,False,1,5438.591003417969,1994,882,False
gemini_2_5_flash__production,FM-540252,"After hours - Dairy store room 127E cooler temperatures too high. Cory Maul went out on this, compressor bad. General Comments).",0,Xs9,MEDIUM,0.8,"[gemini-2.5-flash] Coolant temperature sensor Xs9 indicates elevated temperatures due to a bad compressor, affecting cooler performance.",False,1,8563.117265701294,2115,1361,False
gemini_2_5_flash__production,UAF09-0012006,SB/CI: DILLINGHAM: BOILER FAILURE,0,Xs2,HIGH,0.92,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a critical spike, indicating a catastrophic thermal event likely caused by boiler failure.",False,1,10413.508892059326,2016,1646,False
gemini_2_5_flash__production,104395,assuming ceiling leak - water coming into kitchen area CARPENTERS added to open walls,0,W3,MEDIUM,0.78,"[gemini-2.5-flash] Coolant flow sensor W3 indicates a significant drop, suggesting a fluid leak in the system.",False,1,4804.522275924683,1998,699,False
gemini_2_5_flash__production,FM-508389,After hours - Heat pump in alarm in room 206 LEV. (General Comments)(Task Comments),0,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is elevated, indicating an alarm condition originating from the heat pump system.",False,1,9138.393640518188,2109,1585,False
gemini_2_5_flash__production,UAF09-0003963,SB: PREHEAT TEMP OUT OF RANGE,0,Xs9,HIGH,0.92,"[gemini-2.5-flash] Coolant temperature sensor Xs9 is out of range, indicating a critical preheat system issue.",False,1,7045.844316482544,2012,973,False
gemini_2_5_flash__production,83184,Unit tripped on flame failure,0,W0,HIGH,0.92,[gemini-2.5-flash] Motor RPM sensor W0 indicates a critical operational halt due to flame failure.,False,1,9398.369073867798,1986,1771,False
gemini_2_5_flash__production,FM-673601,After Hours - PSTG was cold no heat to the building. (General Comments),0,Xs2,HIGH,0.9,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a critical thermal anomaly, consistent with a major system failure causing the building to be cold.",False,1,11778.593063354492,2103,2342,False
gemini_2_5_flash__production,UAF07-0025925,SB: Q-COM FAILURE - 3 TIMES,0,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates an abnormal condition, possibly due to a recurring system communication failure.",False,1,7995.716571807861,2014,1650,False
gemini_2_5_flash__production,122261,In mens 330.1 Second stall toilet seat is broke right off,0,Xs2,HIGH,0.92,[gemini-2.5-flash] Bearing temperature sensor Xs2 critical — indicating a severe unclassified mechanical failure.,False,1,11430.680274963379,1997,2223,False
gemini_2_5_flash__production,FM-592595,"After hours - AVH: UNL PD paged, flow alarm on the fire panel. Was called in a second time at 12:30 a.m. (General Comments)",0,W3,HIGH,0.92,"[gemini-2.5-flash] Coolant flow sensor W3 indicates a critical flow alarm on the fire panel, requiring immediate attention.",False,1,6835.94536781311,2126,1294,False
gemini_2_5_flash__production,UAF07-0019611,SB: WR CAFE: COOLER HIGH TEMP ALARM,0,Xs9,HIGH,0.92,[gemini-2.5-flash] Coolant temperature sensor Xs9 indicates a critical high temperature alarm in the cooler.,False,1,6518.758296966553,2016,1043,False
gemini_2_5_flash__production,113097,ceiling leak looks like tile is ready to break out,0,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates an elevated thermal reading, possibly influenced by a severe ceiling leak.",False,1,9103.390216827393,1991,1794,False
gemini_2_5_flash__production,FM-644350,"Sensor troubles at Selleck 7,8 and 9000 buildings. (General comments)",0,Xs2,HIGH,0.91,[gemini-2.5-flash] Bearing temperature sensor Xs2 reporting critical system troubles.,False,1,5974.334955215454,2107,1154,False
gemini_2_5_flash__production,UAF09-0013481,SB: KITCHEN: LEAK UNDER DISH SINK,0,W3,HIGH,0.9,[gemini-2.5-flash] Coolant flow sensor W3 indicates a severe leak under the dish sink.,False,1,9370.920658111572,2017,1749,False
gemini_2_5_flash__production,126604,CB 232 is sitting at 23. They have tried to lower the temperature about an hour ago and the instructor has advised the room is still very warm.,0,Xs10,MEDIUM,0.75,"[gemini-2.5-flash] Ambient temperature sensor Xs10 indicates an elevated room temperature, persisting despite attempts to lower it.",False,1,6440.880537033081,2016,969,False
gemini_2_5_flash__production,FM-511636,After hours -- could not see Family Resource Center on jEMS - believed the steam heat to be off. (General Comments),0,Xs2,MEDIUM,0.75,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicating an anomaly, suggesting a general heating system issue.",False,1,17140.126943588257,2111,3246,False
gemini_2_5_flash__production,UAF07-0025244,SB: BSMT MECH RM: LOUD BANGING NOISE,0,Xs12,HIGH,0.92,"[gemini-2.5-flash] Acoustic dB sensor Xs12 detected a sudden, loud banging noise, indicating a severe mechanical anomaly.",False,1,6121.26088142395,2019,1058,False
